행정동,도로명주소,지번주소,위도,경도,데이터기준일자
누상동,"서울특별시 종로구 옥인6가길 22 (누상동, 우리빌)",서울특별시 종로구 누상동 166-65,37.57247474,126.9708001,2024-07-25
무악동,서울특별시 종로구 통일로16길 5 (무악동),서울특별시 종로구 무악동 63-10,37.57459318,126.9661773,2024-07-25
행촌동,서울특별시 종로구 사직로1가길 16 (행촌동),서울특별시 종로구 행촌동 1,37.57373707,126.9665368,2024-07-25
행촌동,서울특별시 종로구 통일로12길 10-8 (행촌동),서울특별시 종로구 행촌동 209-10,37.58539703,126.9706688,2024-07-25
행촌동,서울특별시 종로구 인왕산로1길 66 (행촌동),서울특별시 종로구 행촌동 210-490,37.58614864,126.9669304,2024-07-25
행촌동,서울특별시 종로구 사직로1라길 42 (행촌동),서울특별시 종로구 행촌동 210-500,37.57439149,126.9657034,2024-07-25
행촌동,서울특별시 종로구 사직로1길 58-9 (행촌동),서울특별시 종로구 행촌동 210-413,37.58307814,126.9695836,2024-07-25
행촌동,서울특별시 종로구 통일로12길 76 (행촌동),서울특별시 종로구 행촌동 210-99,37.57782208,126.9671357,2024-07-25
행촌동,서울특별시 종로구 자하문로33길 57 (청운동) ,서울특별시 종로구 청운동 56-4 ,37.5864746,126.966622,2024-07-25
행촌동,"서울특별시 종로구 사직로1길 12-3 (행촌동, 대성빌라2차)",서울특별시 종로구 행촌동 171-58,37.58378713,126.9695692,2024-07-25
행촌동,"서울특별시 종로구 송월1길 44-38 (행촌동, 옥영주택)",서울특별시 종로구 행촌동 1-12,37.58386085,126.968947,2024-07-25
행촌동,서울특별시 종로구 송월1길 54 (행촌동),서울특별시 종로구 행촌동 5-2,37.58210348,126.9676932,2024-07-25
행촌동,"서울특별시 종로구 송월1길 46 (홍파동, 송현빌라)",서울특별시 종로구 홍파동 2-3,37.58217343,126.9674831,2024-07-25
행촌동,"서울특별시 종로구 송월1길 71 (행촌동, 정우빌라)",서울특별시 종로구 행촌동 1-78,37.57959468,126.9878297,2024-07-25
누하동,서울특별시 종로구 필운대로 23 (누하동),서울특별시 종로구 누하동 251,37.58145441,126.9686866,2024-07-25
사직동,서울특별시 종로구 사직로9길 1 (사직동),서울특별시 종로구 사직동 1-28,37.57423187,126.9648865,2024-07-25
사직동,서울특별시 종로구 경희궁길 28 (신문로2가),서울특별시 종로구 신문로2가 1-96,37.58262119,126.9648351,2024-07-25
사직동,서울특별시 종로구 경희궁3가길 2 (사직동),서울특별시 종로구 사직동 187-1,37.58079951,126.9662237,2024-07-25
사직동,서울특별시 종로구 경희궁3나길 2 (사직동) , 서울특별시 종로구 사직동 311-6 ,37.5738086,126.967053,2024-07-25
사직동,"서울특별시 종로구 사직로7길 3 (사직동, 초계빌라)",서울특별시 종로구 사직동 262-22,37.58016659,126.9851863,2024-07-25
사직동,서울특별시 종로구 사직로7길 3-14 (사직동),서울특별시 종로구 사직동 262-103,37.58112153,126.9646707,2024-07-25
필운동,"서울특별시 종로구 필운대로1길 41 (필운동, 차남주씨다세대주택)",서울특별시 종로구 필운동 31-1,37.58142267,126.9647723,2024-07-25
가회동,서울특별시 종로구 북촌로6길 1 (가회동),서울특별시 종로구 가회동 208-7,37.58130984,126.965303,2024-07-25
계동,"서울특별시 종로구 창덕궁1가길 7 (계동, 현대아이빌라)",서울특별시 종로구 계동 140-10,37.57584966,126.9571365,2024-07-25
사직동,"서울특별시 종로구 사직로5길 36 (사직동, 사직궁빌라맨션)",서울특별시 종로구 사직동 284,37.57335578,126.9638329,2024-07-25
원서동,"서울특별시 종로구 창덕궁3길 12 (원서동, 경미빌라)",서울특별시 종로구 원서동 77-10,37.58377597,126.9807982,2024-07-25
원서동,"서울특별시 종로구 창덕궁3길 20 (원서동, 조은빌라)",서울특별시 종로구 원서동 77-44,37.58192582,126.9887562,2024-07-25
삼청동,서울특별시 종로구 북촌로 141 (삼청동) , 서울특별시 종로구 삼청동 27-14 ,37.5871888,126.9826758,2024-07-25
원서동,"서울특별시 종로구 창덕궁3길 38 (원서동, 이안하우스)",서울특별시 종로구 원서동 76-9,37.58333658,126.9876778,2024-07-25
원서동,서울특별시 종로구 창덕궁길 127 (원서동),서울특별시 종로구 원서동 76-53,37.58150137,126.9888552,2024-07-25
원서동,서울특별시 종로구 창덕궁길 135 (원서동),서울특별시 종로구 원서동 76-30,37.5824,126.9886538,2024-07-25
원서동,서울특별시 종로구 창덕궁7길 5 (원서동),서울특별시 종로구 원서동 4-7,37.58323013,126.9864727,2024-07-25
가회동,서울특별시 종로구 창덕궁길 172-2 (가회동),서울특별시 종로구 가회동 11-67,37.58085412,126.986453,2024-07-25
계동,서울특별시 종로구 북촌로8길 24 (계동),서울특별시 종로구 계동 75-10,37.58383083,126.9824375,2024-07-25
삼청동,서울특별시 종로구 북촌로5나길 114 (삼청동),서울특별시 종로구 삼청동 35-141,37.57992585,126.9819402,2024-07-25
삼청동,서울특별시 종로구 북촌로5나길 74 (삼청동),서울특별시 종로구 삼청동 35-126,37.58532155,126.9832809,2024-07-25
삼청동,서울특별시 종로구 북촌로11나길 26 (삼청동),서울특별시 종로구 삼청동 35-169,37.58221902,126.9822744,2024-07-25
소격동,서울특별시 종로구 북촌로5길 56 (소격동),서울특별시 종로구 소격동 119-1,37.5828853,126.9888747,2024-07-25
팔판동,서울특별시 종로구 삼청로5길 30 (팔판동),서울특별시 종로구 팔판동 119,37.61392194,126.9806668,2024-07-25
평창동,서울특별시 종로구 평창40길 55 (평창동),서울특별시 종로구 평창동 420-1,37.61219379,126.9783113,2024-07-25
평창동,서울특별시 종로구 평창길 342 (평창동),서울특별시 종로구 평창동 111-7,37.61498754,126.9776017,2024-07-25
평창동,서울특별시 종로구 평창40길 100 (평창동),서울특별시 종로구 평창동 440-10,37.58303769,126.9802179,2024-07-25
평창동,서울특별시 종로구 평창32길 17 (평창동),서울특별시 종로구 평창동 466-14,37.61279736,126.9763941,2024-07-25
평창동,서울특별시 종로구 평창31길 24 (평창동),서울특별시 종로구 평창동 454-7,37.61129317,126.9764537,2024-07-25
평창동,서울특별시 종로구 평창30길 11 (평창동),서울특별시 종로구 평창동 460-2,37.61080477,126.9748294,2024-07-25
평창동,서울특별시 종로구 평창길 283 (평창동),서울특별시 종로구 평창동 446-6,37.6150836,126.9758816,2024-07-25
평창동,서울특별시 종로구 평창7길 32 (평창동),서울특별시 종로구 평창동 442-7,37.61715125,126.9770884,2024-07-25
평창동,서울특별시 종로구 평창7길 46 (평창동),서울특별시 종로구 평창동 442-2,37.61454596,126.9744681,2024-07-25
평창동,서울특별시 종로구 평창길 268 (평창동),서울특별시 종로구 평창동 476-2,37.61651656,126.9760121,2024-07-25
평창동,서울특별시 종로구 평창30길 66-1 (평창동),서울특별시 종로구 평창동 487-1,37.61328792,126.9721584,2024-07-25
평창동,서울특별시 종로구 평창31길 24 (평창동),서울특별시 종로구 평창동 454-7,37.61473822,126.9712998,2024-07-25
평창동,서울특별시 종로구 평창6길 22 (평창동),서울특별시 종로구 평창동 474-21,37.61251775,126.9695543,2024-07-25
평창동,서울특별시 종로구 평창길 213 (평창동),서울특별시 종로구 평창동 494-10,37.61093006,126.9700364,2024-07-25
평창동,서울특별시 종로구 평창20길 49 (평창동),서울특별시 종로구 평창동 512-18,37.61095991,126.9680878,2024-07-25
평창동,서울특별시 종로구 평창21길 62 (평창동),서울특별시 종로구 평창동 523-43,37.60828424,126.9715949,2024-07-25
