의류수거함,위치,위도,경도
남현동-25,서울특별시 관악구 남현3길 9,37.4748287675,126.9773447819
남현동-26,서울특별시 관악구 남현7길 20,37.4732618984,126.9768156188
남현동-27,서울특별시 관악구 남현7길 32,37.4734702201,126.9773219038
남현동-28,서울특별시 관악구 남현7길 46,37.4734884416,126.9779086260
남현동-29,서울특별시 관악구 남현길 42,37.4748007635,126.9765110345
남현동-30,서울특별시 관악구 남현길 64,37.4740201919,126.9759309908
남현동-31,서울특별시 관악구 남현길 79,37.4732611559,126.9758085757
남현동-32,서울특별시 관악구 승방10길 11-1,37.4724573393,126.9775041042
남현동-33,서울특별시 관악구 승방10길 19,37.4729115082,126.9773452476
남현동-34,서울특별시 관악구 승방1길 35,37.4724319606,126.9812924657
남현동-35,서울특별시 관악구 승방1길 40,37.4725705718,126.9809528341
남현동-36,서울특별시 관악구 승방1길 57,37.4720404799,126.9802369259
남현동-37,서울특별시 관악구 승방1길 73,37.4717001171,126.9794096248
남현동-38,서울특별시 관악구 승방1길 83,37.4715503746,126.9789291041
남현동-39,서울특별시 관악구 승방3가길 10,37.4732389376,126.9803800699
남현동-40,서울특별시 관악구 승방3가길 19,37.4728539644,126.9800126492
남현동-41,서울특별시 관악구 승방3가길 28,37.4728660256,126.9794158618
남현동-42,서울특별시 관악구 승방3가길 58,37.4719551535,126.9781842345
남현동-43,서울특별시 관악구 승방3가길 6,37.4732923056,126.9805505344
남현동-44,서울특별시 관악구 승방3나길 8,37.4729414710,126.9806649177
남현동-45,서울특별시 관악구 승방6길 18,37.4743123917,126.9803237161
남현동-46,서울특별시 관악구 승방6길 27,37.4747862646,126.9799762973
남현동-47,서울특별시 관악구 승방6길 6,37.4738885681,126.9803930139
남현동-48,서울특별시 관악구 승방6길 9,37.4740278269,126.9801693637
남현동-49,서울특별시 관악구 승방7길 1,37.4731823931,126.9795472512
남현동-50,서울특별시 관악구 승방9길 16,37.4720942822,126.9787483014
남현동-51,서울특별시 관악구 승방길 100,37.4715143177,126.9773777745
