관리단체,의류수거함관리코드,행정동,도로명주소,위도,경도,데이터기준일
강북장애인단체총연합회,삼양-8,삼양동,서울특별시 강북구 인수봉로20나길 62,37.62687997,127.0156911,2025-03-24
강북장애인단체총연합회,미아3-34,미아동,서울특별시 강북구 도봉로68길 15,37.63127565,127.0253086,2025-03-24
강북장애인단체총연합회,인수-14,인수동,서울특별시 강북구 인수봉로 268-1,37.6425291,127.0111565,2025-03-24
강북장애인단체총연합회,수유2-16,수유2동,서울특별시 강북구 삼양로124길 5-10,37.64559692,127.0159885,2025-03-24
강북장애인단체총연합회,번1-52,번1동,서울특별시 강북구 도봉로96나길 27,37.63939808,127.0334854,2025-03-24
강북장애인단체총연합회,수유3-12,수유3동,서울특별시 강북구 노해로9나길 7,37.63841165,127.0176694,2025-03-24
강북장애인단체총연합회,삼양-80,삼양동,서울특별시 강북구 삼양로68가길 7,37.62901277,127.0197075,2025-03-24
강북장애인단체총연합회,인수-38,인수동,서울특별시 강북구 인수봉로51길 43,37.63534421,127.0107191,2025-03-24
강북장애인단체총연합회,송천5-3,송천동,서울특별시 강북구 도봉로29길 86,37.62038579,127.0235702,2025-03-24
강북장애인단체총연합회,우이-60,우이동,서울특별시 강북구 4.19로9길 24,37.64584026,127.0095262,2025-03-24
강북장애인단체총연합회,수유3-36,수유3동,서울특별시 강북구 노해로 56,37.64066132,127.02275,2025-03-24
강북장애인단체총연합회,송중8-26,송중동,서울특별시 강북구 오패산로37길 8,37.61530117,127.0330946,2025-03-24
강북장애인단체총연합회,송천5-60,송천동,서울특별시 강북구 솔샘로64길 23,37.61627751,127.0279961,2025-03-24
강북장애인단체총연합회,수유1-37,수유1동,서울특별시 강북구 인수봉로 83-3,37.62729904,127.0119245,2025-03-24
강북장애인단체총연합회,우이-3,우이동,서울특별시 강북구 삼양로 654,37.66117486,127.0137204,2025-03-24
강북장애인단체총연합회,인수-57,인수동,서울특별시 강북구 삼양로107길 14,37.64155998,127.015951,2025-03-24
강북장애인단체총연합회,송중9-15,송중동,서울특별시 강북구 오현로9길 106,37.62133785,127.0330619,2025-03-24
강북장애인단체총연합회,번1-27,번1동,서울특별시 강북구 한천로124나길 66,37.63933159,127.0297698,2025-03-24
강북장애인단체총연합회,미아3-66,미아동,서울특별시 강북구 오패산로52아길 50,37.62842186,127.0299907,2025-03-24
강북장애인단체총연합회,우이-27,우이동,서울특별시 강북구 삼양로 159나길 12,37.65795543,127.0112355,2025-03-24
강북장애인단체총연합회,삼양-36,삼양동,서울특별시 강북구 인수봉로19길 9,37.62562463,127.0121052,2025-03-24
강북장애인단체총연합회,번2-21,번2동,서울특별시 강북구 오현로25라길 54,37.62682586,127.0342484,2025-03-24
