행정동,도로명주소,지번주소,위도,경도,데이터기준일자
도림동,서울특별시 영등포구 도신로15라길 2,서울특별시 영등포구 도림동 232,37.5070224152,126.8978818309,2024-08-23
도림동,서울특별시 영등포구 도신로15라길 5-7,서울특별시 영등포구 도림동 231-1,37.5078533391,126.8973820348,2024-08-23
도림동,서울특별시 영등포구 도신로15길 29-3,서울특별시 영등포구 도림동 265-11,37.5075415645,126.8964220083,2024-08-23
도림동,서울특별시 영등포구 도신로15길 36,서울특별시 영등포구 도림동 226-13,37.5082030858,126.8967350653,2024-08-23
도림동,서울특별시 영등포구 도영로7길 12-7,서울특별시 영등포구 도림동 202-43,37.5097824767,126.8960392207,2024-08-23
도림동,서울특별시 영등포구 도영로11길 13,서울특별시 영등포구 도림동 201-2,37.5107164492,126.8968518343,2024-08-23
도림동,서울특별시 영등포구 도영로11길 6,서울특별시 영등포구 도림동 187-51,37.5104243527,126.8976910251,2024-08-23
도림동,서울특별시 영등포구 영신로1가길 12-25,서울특별시 영등포구 도림동 7-23,37.5114011100,126.9092390000,2024-08-23
도림동,서울특별시 영등포구 도신로29라길 6,서울특별시 영등포구 도림동 113-2,37.5095007208,126.9055742710,2024-08-23
문래동,서울특별시 영등포구 도림로141길 17,서울특별시 영등포구 문래동2가 56-3,37.5138121577,126.8921546231,2024-08-23
문래동,서울특별시 영등포구 선유로3길 21,서울특별시 영등포구 문래동5가 19-8,37.5160554289,126.8853136664,2024-08-23
문래동,서울특별시 영등포구 선유로 28,서울특별시 영등포구 문래동4가 10-4,37.5164052081,126.8887147048,2024-08-23
문래동,서울특별시 영등포구 영등포로20길 22-8,서울특별시 영등포구 문래동3가 82-12,37.5199500610,126.8918586920,2024-08-23
문래동,서울특별시 영등포구 도림로128가길 1,서울특별시 영등포구 문래동3가 54-5,37.5144240292,126.8957676497,2024-08-23
양평1동,서울특별시 영등포구 양평동1가 30,,,,2024-08-23
양평1동,서울특별시 영등포구 선유서로30길30,,,,2024-08-23
양평1동,서울특별시 영등포구 선유서로24길 21,서울특별시 영등포구 양평동1가 211-1,37.5236254373,126.8883802167,2024-08-23
양평1동,서울특별시 영등포구 선유동1로 120 뒤,,,,2024-08-23
양평1동,서울특별시 영등포구 선유서로 103-3,서울특별시 영등포구 양평동2가 33-48,37.5249177612,126.8857592843,2024-08-23
양평1동,서울특별시 영등포구 문래북로 57,서울특별시 영등포구 양평동1가 1-42,37.5209160176,126.8915548120,2024-08-23
양평1동,서울특별시 영등포구 선유서로25길 16-1,서울특별시 영등포구 양평동2가 36-36,37.5246762858,126.8840877516,2024-08-23
양평1동,서울특별시 영등포구 양산로 5,서울특별시 영등포구 양평동3가 30-17,37.5261465535,126.8835513946,2024-08-23
양평1동,서울특별시 영등포구 양산로3길 7,서울특별시 영등포구 양평동3가 30-31,37.5264220919,126.8850352245,2024-08-23
양평1동,서울특별시 영등포구 선유서로31길 1,서울특별시 영등포구 양평동3가 23-3,37.5263847140,126.8861655575,2024-08-23
양평1동,서울특별시 영등포구 선유서로 129,서울특별시 영등포구 양평동3가 32-1,37.5272259092,126.8864672432,2024-08-23
양평1동,서울특별시 영등포구 선유서로34길 11-2,서울특별시 영등포구 양평동3가 56-9,37.5274117589,126.8875694224,2024-08-23
양평1동,서울특별시 영등포구 영등포로 14-3,서울특별시 영등포구 양평동2가 22-1,37.5227796466,126.8833252893,2024-08-23
양평1동,서울특별시 영등포구 선유로33길 22,서울특별시 영등포구 양평동3가 55-1,37.5271356665,126.8878267562,2024-08-23
양평1동,서울특별시 영등포구 국회대로22길 35,서울특별시 영등포구 양평동3가 49-8,37.5268593406,126.8906245380,2024-08-23
양평1동,서울특별시 영등포구 문래북로 31,서울특별시 영등포구 양평동1가 13-25,37.5213926934,126.8887937228,2024-08-23
양평1동,서울특별시 영등포구 선유동1로 35,서울특별시 영등포구 양평동3가 3-1,37.5254761629,126.8919405393,2024-08-23
양평2동,서울특별시 영등포구 양평로28가길 50,서울특별시 영등포구 양평동6가 88,37.5441918986,126.8890000963,2024-08-23
양평2동,서울특별시 영등포구 양평로28사길 31,서울특별시 영등포구 양평동6가 86,37.5438776255,126.8891870431,2024-08-23
양평2동,서울특별시 영등포구 양평로30나길 12,서울특별시 영등포구 양평동6가 65-1,37.5432067432,126.8893809650,2024-08-23
양평2동,서울특별시 영등포구 양평로30나길 6,서울특별시 영등포구 양평동6가 82-3,37.5428664380,126.8887119339,2024-08-23
양평2동,서울특별시 영등포구 양평로28사길 9,서울특별시 영등포구 양평동6가 20,37.5429663351,126.8912981563,2024-08-23
양평2동,서울특별시 영등포구 양평로28길 33,서울특별시 영등포구 양평동6가 20-5,37.5424410042,126.8919325794,2024-08-23
양평2동,서울특별시 영등포구 양평로22사길 35,서울특별시 영등포구 양평동5가 131-7,37.5422258274,126.8926040023,2024-08-23
양평2동,서울특별시 영등포구 양평로24길 32,서울특별시 영등포구 양평동5가 121-7,37.5408465923,126.8946205253,2024-08-23
양평2동,서울특별시 영등포구 양평로22바길 6,서울특별시 영등포구 양평동5가 124-7,37.5404207451,126.8950874182,2024-08-23
양평2동,서울특별시 영등포구 양평로24길 16,서울특별시 영등포구 양평동5가 94,37.5396387345,126.8937404518,2024-08-23
양평2동,서울특별시 영등포구 선유로53길 34-14,서울특별시 영등포구 양평동4가 210-3,37.5388741871,126.8956046359,2024-08-23
양평2동,서울특별시 영등포구 선유로53길 34-1,서울특별시 영등포구 양평동4가 205,37.5385222408,126.8949771567,2024-08-23
양평2동,서울특별시 영등포구 양평로23길 3,서울특별시 영등포구 양평동5가 28,37.5380684984,126.8925503157,2024-08-23
양평2동,서울특별시 영등포구 선유로53길 19-1,서울특별시 영등포구 양평동4가 169,37.5376412915,126.8962551362,2024-08-23
양평2동,서울특별시 영등포구 양평로18길 14,서울특별시 영등포구 양평동4가 276-1,37.5376187766,126.8974011137,2024-08-23
양평2동,서울특별시 영등포구 양평로18길 19,서울특별시 영등포구 양평동4가 322-1,37.5382568089,126.8976482584,2024-08-23
양평2동,서울특별시 영등포구 선유로55길 5,서울특별시 영등포구 양평동4가 266-6,37.5376130196,126.8982450802,2024-08-23
양평2동,서울특별시 영등포구 선유로55길 19,서울특별시 영등포구 양평동4가 245-1,37.5382956249,126.8970067729,2024-08-23
양평2동,서울특별시 영등포구 선유로 277-5,서울특별시 영등포구 양평동4가 275-2,37.5372712924,126.8979574753,2024-08-23
양평2동,서울특별시 영등포구 양평로30길 4-1,서울특별시 영등포구 양평동6가 7,37.5403422644,126.8897429787,2024-08-23
양평2동,서울특별시 영등포구 선유로47길 15,서울특별시 영등포구 양평동4가 22-1,37.5354055418,126.8950227117,2024-08-23
양평2동,서울특별시 영등포구 양평로28라길 2,서울특별시 영등포구 양평동6가 13-6,37.5417720126,126.8914418968,2024-08-23
양평2동,서울특별시 영등포구 양평로24길 3,서울특별시 영등포구 양평동5가 53,37.5388941982,126.8927986437,2024-08-23
양평2동,서울특별시 영등포구 양평로14길 9,서울특별시 영등포구 양평동4가 278-3,37.5362596525,126.8995372169,2024-08-23
양평2동,서울특별시 영등포구 선유동2로 71,서울특별시 영등포구 양평동4가 33-4,37.5349814187,126.8982921026,2024-08-23
양평2동,서울특별시 영등포구 양평로28길 11,서울특별시 영등포구 양평동6가 8,37.5408768077,126.8904964580,2024-08-23
양평2동,서울특별시 영등포구 양평로17길 9,서울특별시 영등포구 양평동4가 51-1,37.5356705885,126.8962147586,2024-08-23
양평2동,서울특별시 영등포구 양평로20길 20,서울특별시 영등포구 양평동4가 319-6,37.5386786197,126.8965713053,2024-08-23
신길1동,서울특별시 영등포구 영등포로74길 14,서울특별시 영등포구 신길동 95-51,37.5133052842,126.9186286669,2024-08-23
신길1동,서울특별시 영등포구 영등포로84길 38,서울특별시 영등포구 신길동 456-7,37.5099620300,126.9219778000,2024-08-23
신길1동,서울특별시 영등포구 여의대방로47다길 16-9,서울특별시 영등포구 신길동 465-16,37.5108008540,126.9214241962,2024-08-23
신길1동,서울특별시 영등포구 영등포로84길 24-14,서울특별시 영등포구 신길동 466-3,37.5115780184,126.9214969011,2024-08-23
신길1동,서울특별시 영등포구 도신로62길 36,서울특별시 영등포구 신길동 124-10,37.5093696676,126.9197696317,2024-08-23
신길1동,서울특별시 영등포구 도신로62길 26-1,서울특별시 영등포구 신길동 124-30,37.5100858691,126.9189675176,2024-08-23
신길1동,서울특별시 영등포구 도신로58길 34,서울특별시 영등포구 신길동 146-16,37.5091097004,126.9168634936,2024-08-23
신길1동,서울특별시 영등포구 영등포로72길 35,서울특별시 영등포구 신길동 119-2,37.5109584376,126.9187574411,2024-08-23
신길1동,서울특별시 영등포구 영등포로79길 9,서울특별시 영등포구 신길동 65-103,37.5146072812,126.9212225996,2024-08-23
